,ID,Category,Session,CarNo,Driver,Maker,Lap,Pos,Sec 1,Sec 2,Sec 3,Sec 4,Speed,LapTime (min),LapTime,Gap,Diff,Elapsed Time,Tyre,Pit,Pit In No,Track Condition,Weather,Flag,Remaining Time,Sampling Time,Ambient Time,Ambient Temp,Ambient K Type,Ambient Track,Ambient Humidity,Ambient Pressure,Weather Time,Weather Temp,Weather Humidity,Weather WindSpeed,Weather WindDirection,Weather Air Pressure
19,50_41,SF,FP1,50,# 50 KOI,HONDA,41,17,21.358,26.461,38.98,,294.27,1:26.799,86.799,33.293,4.870,,,Pit,1,Dry     ,Fine,green_off,,17:46:07.270,,,,,,,,,,,,
20,64_41,SF,FP1,64,# 64 REN,HONDA,41,6,20.853,26.084,43.707,,312.13,1:30.644,90.644,14.445,4.162,,,Pit,1,Dry     ,Fine,green_off,,17:46:07.379,,,,,,,,,,,,
21,65_40,SF,FP1,65,# 65 FRA,HONDA,40,18,21.131,26.101,38.355,,305.08,1:25.587,85.587,1 LAP,1 LAP,,,Pit,2,Dry     ,Fine,green_off,,17:46:07.487,,,,,,,,,,,,
22,1_41,SF,FP1,1,#  1 TUB,TOYOTA,41,3,21.119,26.199,38.345,,302.52,1:25.663,85.663,7.947,0.820,,,Pit,1,Dry     ,Fine,green_off,,17:46:10.256,,,,,,,,,,,,
23,37_41,SF,FP1,37,# 37 FEN,TOYOTA,41,5,21.227,26.017,38.13,,299.99,1:25.374,85.374,10.283,2.125,,,Pit,1,Dry     ,Fine,green_off,,17:46:10.342,,,,,,,,,,,,
24,3_41,SF,FP1,3,#  3 KEN,TOYOTA,41,8,21.03,26.5,38.677,,308.57,1:26.207,86.207,19.713,0.811,,,Pit,1,Dry     ,Fine,green_off,,17:46:10.433,,,,,,,,,,,,
25,4_41,SF,FP1,4,#  4 OSU,TOYOTA,41,16,21.295,26.326,38.459,,300.83,1:26.080,86.08,28.423,1.792,,,Pit,1,Dry     ,Fine,green_off,,17:46:10.522,,,,,,,,,,,,
26,5_41,SF,FP1,5,#  5 MAK,HONDA,41,9,21.236,26.255,38.324,,300.00,1:25.815,85.815,20.433,0.720,,,Pit,1,Dry     ,Fine,green_off,,17:46:10.613,,,,,,,,,,,,
27,6_41,SF,FP1,6,#  6 OTA,HONDA,41,1,20.838,25.848,38.022,,308.57,1:24.708,84.708,-,-,,,Pit,1,Dry     ,Fine,green_off,,17:46:10.697,,,,,,,,,,,,
28,7_41,SF,FP1,7,#  7 KOB,TOYOTA,41,4,21.076,26.114,37.965,,302.52,1:25.155,85.155,8.158,0.211,,,Pit,1,Dry     ,Fine,green_off,,17:46:10.786,,,,,,,,,,,,
